delegate,voting_power,th_vp,ch_member_r2,ch_vp_r2,ch_member_r3,ch_vp_r3,ch_member_r4,ch_vp_r4,gc_member_s3,gc_vp_s3,gc_member_s4,gc_vp_s4,gc_member_s5,gc_vp_s5,gc_member_mm_s5,gc_vp_mm_s5,sc_member_s5,sc_vp_s5,coc_member_s5,coc_vp_s5,dab_member_s5,dab_vp_s5
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,3331463.3362500696,9.446601798828455,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,3146808.2162001124,8.922999041371641,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x429f9ada43e9f345cbb85ec88681bb70df808892,2103984.980633989,5.965999411278881,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x0f9457824adb0649f57b91f21fcaf598b7ed9230,2017899.1480291733,5.721896895639714,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,1742597.0881396702,4.941258277806176,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xa6e8772af29b29b9202a073f8e36f447689beef6,1179908.0292230805,3.3457133356469955,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,1165246.1047717538,3.304138403577627,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,1105660.6886526016,3.135179708168807,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,1078309.6760336622,3.057623961961292,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,1001933.35699024,2.8410534642425294,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x45a10f35befa4ab841c77860204b133118b7ccae,869661.5397211207,2.4659872963659097,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x8f73be66ca8c79382f72139be03746343bf5faa0,829078.1394166643,2.350910171503961,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x6cea573473348367a5f66e0f261bfa25799e6a60,767698.5999478048,2.176864111429216,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,615322.3141365349,1.7447902897002374,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x13838884271ec954cb036d0b29d404afab5eae2a,589074.1321488327,1.6703616983713272,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,543280.9103162722,1.5405117531443913,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,537097.8799868899,1.522979329840733,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,531026.3942665345,1.5057631992282827,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xdb5781a835b60110298ff7205d8ef9678ff1f800,514956.6170431242,1.4601962002540982,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x7ae109a63ff4dc852e063a673b40bed85d22e585,475254.35590440605,1.3476176083153577,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,458659.5879184554,1.3005619606060008,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xd23199f1222c418ffc74c385171330b21b16e452,383127.14871479,1.0863843443353087,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,370768.0462908638,1.0513392282989475,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,349240.8143283109,0.9902972273354452,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xdab0d648a2a771e6952916a822dddf738b535f5a,290477.8019726128,0.8236705164292539,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,289465.1060589093,0.8207989449681596,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x62a43123fe71f9764f26554b3f5017627996816a,266671.3244135514,0.7561655520833646,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xb7abf554aefd4686639afcf2a653adfda3d9b038,262532.1721576511,0.7444286907705743,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x062a07cbf4848fda67292a96a5e02c97e402233f,254803.64357903373,0.7225138969985248,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xf9551c66995ed3ff9bb05c9fd7ff148bd75dc99a,241147.9946436703,0.6837923308947306,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x7899d9b1181cbb427b0b1be0684c096c260f7474,236486.1678783822,0.6705733887477138,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xeef440ea127a0aabf70601c6c68c425c29d02018,217676.7961101625,0.6172380741287328,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x94db037207f6fb697dbd33524aadffd108819dc8,211255.4212343043,0.5990298078713248,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,208704.80492659108,0.5917973534905763,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,179859.5660370952,0.5100046221655289,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x1372eda77df5a048db8af4db3d8680ff56388824,178681.0061438473,0.5066627315655516,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,171034.6047087686,0.4849808151640689,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,165767.1642591911,0.4700446122394374,1,1.36986301369863,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x70d95a4e6f514149af97de9a107d12bf1cf57169,161459.05524740493,0.4578286619999558,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x523d007855b3543797e0d3d462cb44b601274819,141170.293363165,0.4002984312373392,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x0331969e189d63fbc31d771bb04ab44227d748d8,136490.97194369137,0.3870298817511389,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xfc61965861b679c5aa728d41fa6ea0b29544f554,124051.86036436168,0.3517578940505655,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xf417ace7b13c0ef4fcb5548390a450a4b75d3eb3,104280.7405155052,0.2956954741833575,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x1d1a13b16667c284b87de62caeeff0ce89e342b2,94542.4104590114,0.268081745036691,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xb55a948763e0d386b6defcd8070a522216ae42b1,91097.27842288766,0.2583128275356265,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x4ac799e9b0e252bc45d499857c84809a5a444ae0,88590.5500123962,0.2512048204163353,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x8c580556fdb1f57853e49f409ae9b89f7658e7a2,69571.39553786862,0.1972746519776507,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,65941.00734932089,0.1869804274489836,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xf3f527b70af6012f328d3ede7fcd3f5f3ca6cba2,65424.37055086253,0.185515466974542,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xc45b3e05102a17eec215d17afb756f501552b5b8,63094.78164755326,0.178909751556613,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xc540eb6c7b3e44ef8a45db3ad8618404baed88f6,59643.44493865879,0.1691232402635595,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x6fc69da059944b4895d65f385b9a26b1285cab88,58370.54486704801,0.1655138413620719,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xfd4f24676ed4588928213f37b126b53c07186f45,54605.810005200896,0.1548386672633323,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xdf629daa1e3a099d4c87d7ba855e9561d2300032,51720.21927119689,0.1466563690156175,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xd0214b7e8a7821a5cb07024bc00d64ece8cc1067,44740.587723591416,0.1268651261658657,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x2fd8bd701461684957a9d6a9d15f9d5cbf17a58d,44607.81051073704,0.1264886269127761,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
