delegate,voting_power,th_vp,ch_member_r2,ch_vp_r2,ch_member_r3,ch_vp_r3,ch_member_r4,ch_vp_r4,gc_member_s3,gc_vp_s3,gc_member_s4,gc_vp_s4,gc_member_s5,gc_vp_s5,gc_member_mm_s5,gc_vp_mm_s5,sc_member_s5,sc_vp_s5,coc_member_s5,coc_vp_s5,dab_member_s5,dab_vp_s5,gc_member_s6,gc_vp_s6,gc_member_mm_s6,gc_vp_mm_s6,sc_member_s6,sc_vp_s6,coc_member_s6,coc_vp_s6,dab_member_s6,dab_vp_s6
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,6102012.366398432,8.754275623347707,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x429f9ada43e9f345cbb85ec88681bb70df808892,5035621.348575764,7.224373628443692,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x406b607644c5d7bfda95963201e45a4c6ab1c159,3465877.9298432814,4.972335166314004,0,0,0,0.0,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,2779759.508390006,3.9879927213963784,0,0,0,0.0,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,2579763.460336712,3.701067618150118,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,2340047.6671711574,3.357158429077253,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,2137344.11912854,3.06634900050788,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xa6e8772af29b29b9202a073f8e36f447689beef6,2026548.5605782568,2.907395724252162,0,0,0,0.0,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x4f41877773e44f2275da1942fee898556821bf66,2011248.1828320671,2.885444978188607,0,0,0,0.0,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1633841.274741225,2.3439966989658054,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,1528512.751838556,2.1928867265298946,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,1476237.8365744113,2.1178903173240617,0,0,1,0.7575757575757576,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xb933aee47c438f22de0747d57fc239fe37878dd1,1372701.4814517286,1.9693514853197365,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x3d2d722b443a5cae8e41877bb7cd649f3650937c,1192031.0715980623,1.7101519836026142,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xb55a948763e0d386b6defcd8070a522216ae42b1,1135759.2953438456,1.6294214623310683,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,1128632.5820434724,1.6191970955527248,0,0,1,0.7575757575757576,0,0,0,0,1,11.11111111111111,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,1082759.989679097,1.5533858036375232,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,1062892.9918323583,1.5248835383985133,0,0,1,0.7575757575757576,0,0,0,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
